,date,tweet,hashtags
50,2020-05-04 23:34:06,I still don't get the need to have opened the liquor shops! I know it's an addiction for many but this lockdown was as good a time as any to detox & cure! Volunteers could have helped here! Is it about the cess & taxes & permit fees as revenue...?!? I'm truly flummoxed! 🤔,[]
51,2020-05-04 23:33:37,"(2/2) @PMOIndia on every bottle. Rs 25 can be paid to the delivery agent and government can make Rs 100 additional on every bottle. This will help in employment nto the delivery agent, revenue for the governments, and lockdown guidelines will also be followed",[]
52,2020-05-04 23:32:58,"The dumbest decision ever, if the revenue from excise was so important why did we even have the lockdown in the first place, same like d-mon ban rs 500 notes and launch rs 2000 notes",[]
53,2020-05-04 23:31:31,"Why can't Government and administration is not closing LIQUOR SHOPS.?
HOW FUNNY IT SOUNDS.?

Revenue is much more important than health in lockdown or otherwise also..
@narendramodi
@PMOIndia
@sudhirchaudhary @manuparida1
@vpsbadnore pic.twitter.com/Gxlhu6uqCl",[]
54,2020-05-04 23:30:25,"Cooperating with the Lockdown, and at the same time, missing my Birth place 😥🙂
#India_Fights_Corona 🇮🇳🇮🇳
#Jai_Hind 🇮🇳🇮🇳 pic.twitter.com/G1AXtmDKPp","['#india_fights_corona', '#jai_hind']"
55,2020-05-04 23:30:21,Ok done... Apekhya may 17 ku... Lockdown uthuchi ki lockdown 4.0 hauchi,[]
56,2020-05-04 23:29:23,"In lieu of the relaxation of the lockdown and resumed sale of alcohol in the capital, the Delhi government has announced a ‘Special Corona Fee’. 

Per @ANI
#specialcoronafees #coronavirus #lockdown3 #delhi #delhigovernment #breaking #latest #TrendingNow #COVIDー19 #COVID19 pic.twitter.com/ng1n1FP99v","['#specialcoronafees', '#coronavirus', '#lockdown3', '#delhi', '#delhigovernment', '#breaking', '#latest', '#trendingnow', '#covidー19', '#covid19']"
57,2020-05-04 23:28:20,"@PankajSinghBJP I am not able to contact SDM Noida office
Please help
We are also CORONA WARRIORS serving noida people in lockdown days
Please helping us to get epass
It is impossible to run pharmacy chain without visiting pharmacy chain",[]
58,2020-05-04 23:27:16,"Dear CM ji, Century Overseas, Delhi, Kirti Nagar, is terminated some ladies employees today, when Govt instructed to enterprenures that they can't terminate their employees during lockdown. Pls look into the matter",[]
59,2020-05-04 23:26:15,Mad loot by governments in the name of lifting lockdown. Giving way to bootlegging and anarchy. You are not punishing the people you are killing their families. @ArvindKejriwal @ysjagan @narendramodi,[]
60,2020-05-04 23:26:15,"Dear PM🙏
Please withdraw your decision on Excise permission during Lockdown as this will create a woe and this will be disastrous situation for country and will spoil the whole efforts of our medical team and the COVID Warriors.#Narendermodi #Amitshah #PMOfIndia","['#narendermodi', '#amitshah', '#pmofindia']"
61,2020-05-04 23:25:07,"One thing that this #lockdown has reaffirmed is that if (God Forbid) our Bureaucracy get absolute power, our lives shall turn into a hell.

Guwahati Traders Prefer to Keep Shops Shut than get Embroiled in Admin’s Confusing “Open Shop” Norms
#Covid_19 https://www.guwahatiplus.com/daily-news/guwahati-traders-prefer-to-keep-shops-shut-than-get-embroiled-in-admin-s-confusing-open-shop-norms …","['#lockdown', '#covid_19']"
62,2020-05-04 23:24:57,"Doctors, police, military and all covid donars have every right to question the govt about lifting ban on liquor sales.Respect towards the unity and 40day lockdown gone with 1 statement.

Schools, temples, restaurants closed but liquor shops open 👏
@PMOIndia @purijagan @ysjagan",[]
63,2020-05-04 23:24:50,"I am not able to contact SDM Noida office
Please help
We are also CORONA WARRIORS serving noida people in lockdown days
Please helping us to get epass
It is impossible to run pharmacy chain without visiting pharmacy chain",[]
64,2020-05-04 23:24:36,"People Photography - Flower Market.

*Shot before Lockdown
.
.
.
#shootbob #photography #workshop #one2onesessions #photographytutorials #teachingphotography #shootbobworkshops #flowermarket #krmarket #Bengaluru…  https://www.instagram.com/p/B_xmpZdnWz9/?igshid=r2heg97pb4yt …","['#shootbob', '#photography', '#workshop', '#one2onesessions', '#photographytutorials', '#teachingphotography', '#shootbobworkshops', '#flowermarket', '#krmarket', '#bengaluru']"
65,2020-05-04 23:23:51,"This anger and frustration are crossing the limit not because of the lockdown but because of your pathetic  governance and dumb-deaf attitude with zero accountability and responsibility towards people from this country. 
#cp #kmag","['#cp', '#kmag']"
66,2020-05-04 23:23:36,#Ramadan2020 lockdown pe Ghar baithe Namaz Sikhe ❤️  https://youtu.be/OEXaUZwkN3A ,['#ramadan2020']
67,2020-05-04 23:23:19,"#Fight4Right #Narendermodi Sir, liquor will worsen health & fill Govt Treasury. Citizen with no support frm Govt. Humble request 2 please stop this biggest trauma of lockdown on humanity as we assume in 40 days hopefully Govt must have  back up infra 2 manage coronavirus","['#fight4right', '#narendermodi']"
68,2020-05-04 23:23:04,"@anubhavsinha  Sir , I have ne idea about last 50 days lockdown labour jamati ... want to help for my story ... it’s great idea sir    pls help me",[]
69,2020-05-04 23:22:46,is morning walk inside society premises is allowed after lockdown 3.0 @PMCPune,[]
70,2020-05-04 23:22:42,@narendramodi @PMOIndia @drharshvardhan @ArvindKejriwal @msisodia Situation of Covid today is worst then what it was on 23.03.20 when the first lockdown was announced. So much of relaxation in lockdown norms is fatal in the current scenario. Please revisit before it’s too late.,[]
71,2020-05-04 23:22:37,"Thats why I always say, “Freebies” is not a sustainable model, just 40 days of lockdown & @ArvindKejriwal don’t have money to run the Govt. 

#KillFakeNews #MatKarForward pic.twitter.com/NYYpcVnojo","['#killfakenews', '#matkarforward']"
72,2020-05-04 23:22:28,"Lockdown Day 41

#photojournalist #journalism #photojournalism #coronadiaries #coronavirusindia #covid #coronavirus #Lockdown3 #indiafightscorona #coronavirusoutbreak #stayhome #lockdownindia #indialockdown #quarantine #stayhomestaysafe #socialdistancing #coronavirusupdate pic.twitter.com/wcrLJHzpg3","['#photojournalist', '#journalism', '#photojournalism', '#coronadiaries', '#coronavirusindia', '#covid', '#coronavirus', '#lockdown3', '#indiafightscorona', '#coronavirusoutbreak', '#stayhome', '#lockdownindia', '#indialockdown', '#quarantine', '#stayhomestaysafe', '#socialdistancing', '#coronavirusupdate']"
73,2020-05-04 23:21:32,This calls for a magnum of rosé #lockdown @ The Villa Dubai Land  https://www.instagram.com/p/B_xmSnglapy/?igshid=p80ylzfqvv0s …,['#lockdown']
74,2020-05-04 23:21:10,@wef sfuffer like it is now and the majority towards health issues and making potable water easily available and world can with stand a lockdown of 3 months,[]
75,2020-05-04 23:20:48,"@collectorpune1 my son Prakash Goswami trapped in Pune due to lockdown, he is single & his family in Lucknow. He is doing Job in Lucknow, if he is not reach shortly chances to loss the job. 
I'm senior citizen & sick helpless person. 
My son mb. no. 7081777828
My 8077657590",[]
76,2020-05-04 23:20:39,This is lockdown ?@CMOMaharashtra @AUThackeray @nashikpolice @pimpalgaobaswant pic.twitter.com/pvQeMwX2nk,[]
77,2020-05-04 23:20:33,"Dial 1916, BMC COVID HELPLINE number advertised hoarding during 36th day of nationwide lockdown 2 to coronavirus pandemic at Janata colony, Jogeshwari in Mumbai on 29/04/2020. 📹 @satejss #satejshinde #midday #instavideo #lockdown2 #36thday #COVID19 #bmchelpline #dial1916 pic.twitter.com/FAX3BgIJBO","['#satejshinde', '#midday', '#instavideo', '#lockdown2', '#36thday', '#covid19', '#bmchelpline', '#dial1916']"
78,2020-05-04 23:19:39,"Imposing Lockdown week after week with zero responsibility towards citizens - no financial support, no stimulus package, absolutely nothing - is just a sheer arrogance, evil and utterly pathetic.  

Why everyone is tolerating this attitude of the government?",[]
79,2020-05-04 23:19:27,"Corona is a dangerous virus, it is pandemic.. not a normal flue. Entire world is suffering, no vaccine has been found yet. Only way to fight it is to lockdown and contain the virus: Chairman @BBhuttoZardari.
#AwaamJoRehbarBilawal
@ShahNafisa pic.twitter.com/z9CCXeIs6I",['#awaamjorehbarbilawal']
80,2020-05-04 23:18:44,"Luckily for ne, have the gentlest & sweetest dentist.The clinic had sent mails saying please contact during lockdown if reqd. So WA him.  pic.twitter.com/tgFpYGhbNV",[]
