,date,tweet,hashtags
45,2020-03-25 23:38:56,"A Businessman asked me today What I am doing in this Lockdown period?
I simply answered him that I am Trying to think what to do after this Lockdown?How to enhance our productivity and efficiency so that we can make up and put ahead our economy in world market?  pic.twitter.com/Y38AyjJ0mO",[]
46,2020-03-25 23:38:49,"My dearest Mumbaikars we are passing through a very difficult time with  pandemic of Corona Virus . It is our National duty to adhere to Lockdown announced by Govt of India and Govt of Maharashtra .
Dr Zahir Kazi President Anjuman Islam and Radiologist MD DMRD  pic.twitter.com/bOiVDYSbY7",[]
47,2020-03-25 23:38:33,Well done it’s time to lockdown immideatly before it’s spread down and out of control,[]
48,2020-03-25 23:37:30,"#IndiaFightsCorona 
Day 1 of Lockdown 🤞🤞🤞
@PMOIndia @narendramodi @MSDESkillIndia @sudhirchaudhary @rsprasad @anjanaomkashyap @sardanarohit @SwetaSinghAT @MoHFW_INDIA @WHO @DDNewslive @DDNational @AkashvaniAIR @drharshvardhan @PiyushGoyal @RajatSharmaLive @adgpi pic.twitter.com/rFpu9cpVua",['#indiafightscorona']
49,2020-03-25 23:37:19,"21 days of lockdown
#21daylockdown #IndiaFightsCorona pic.twitter.com/yhxUKyaY0y","['#21daylockdown', '#indiafightscorona']"
50,2020-03-25 23:37:15,So starbazar wants me visit their store approx 3 times do they really understand meaning of lockdown and r they taking Mumbai police and  our CM's warning seriously.i mean what are they upto,[]
51,2020-03-25 23:37:09,"@SBICard_Connect @ianuragthakur @AmitShah Sir,
I am unable to pay my credit card dues on time due to lockdown  because of COVID-19. So i kindly request you to provide me extension for payment till the lockdown is over.",[]
52,2020-03-25 23:35:52,"@SBICard_Connect @PMOIndia Sir,
I am unable to pay my credit card dues on time due to lockdown  because of COVID-19. So i kindly request you to provide me extension for payment till the lockdown is over.",[]
53,2020-03-25 23:35:51,"Why surprise element like #Demonitization this time, why not home work with state govt before total lockdown.  https://twitter.com/loosebool/status/1242873428438175745 …",['#demonitization']
54,2020-03-25 23:34:06,"@KTRTRS sir can you please help us to get start these online deliverables. To make successful lockdown, online delivery will play vital role. Specially people will stop going to super market. My mother is 75yrs patient, every time I go out for essential things makes me fear.  pic.twitter.com/q4KODdxK4h",[]
55,2020-03-25 23:33:37,"National Lockdown, heartbreak & overthinking DO NOT GO WELL",[]
56,2020-03-25 23:33:25,"Dear PM Sir, we respect your decision of lockdown for 21 days. But because of this many people's earnings got stopped. So request you to please direct the banks to postpone the date of the EMI of loans, if possible. As people should have enough money to survive in this situation.",[]
57,2020-03-25 23:33:07,21days #lockdown today is getting to over so we have 20 days stay home be safe @SrBachchan all together we will break the chain of Corona by staying in home @SrBachchan pic.twitter.com/d391BhoQWW,['#lockdown']
58,2020-03-25 23:32:11,"@SBICard_Connect @RBI Sir,
I am  unable to pay my credit card dues on time due to lockdown  because of COVID-19. As i am unable to deposit the cash that i have into my account to make payments. So i kindly request you to provide me extension for payment till the lockdown is over.",[]
59,2020-03-25 23:32:10,I’ve seen more people today than I did when we were not under lockdown @houseparty 👏❤️,[]
60,2020-03-25 23:31:08,"@bsindia Please remove #paywall on articles for the period of lockdown. 

Help people read incisive analysis of everything that matters.
@TamalBandyo @anuproy05",['#paywall']
61,2020-03-25 23:30:15,"@AKTU_Lucknow @dpathak0108 Please extend the date for fee payment for challenge evaluation.
As due to Corona virus lockdown, I am nit able to submit cash in my account as banks are not accepting cash notes. Please help !!",[]
62,2020-03-25 23:30:08,"India,s 21 Days Lockdown Police fire to People just now and saved all people's #StayHomeStaySafe
#21daylockdown #lockdownindia #IndiaFightsCorona #Coronaindia #CoronavirusLockdown #CoronaStopKaroNa pic.twitter.com/cg6qJsFim9","['#stayhomestaysafe', '#21daylockdown', '#lockdownindia', '#indiafightscorona', '#coronaindia', '#coronaviruslockdown', '#coronastopkarona']"
63,2020-03-25 23:29:52,In public interest got authenicated training through HarvardMedical School recieving a certificate on the Covid-19  http://virus.It ’s v informative&I think all doctor friends must get this learning from there website too as knowledge is power #COVID2019 make best #lockdown  pic.twitter.com/mHKKcjCoZM,"['#covid2019', '#lockdown']"
64,2020-03-25 23:29:51,Hi  SIR INDIA LOCKDOWN 21DAYS CORONA 19 SO MANY EMPLOYE TROUBLE FOR MONEY SO PLESE 2 MONTH SALARY RELESE EVERY ONE BECAUSE RELIANCE TATA PAYTM PHONE PAY COMPANIES ALREADY SANCTION SO QUESS ALSO TOP COMPANY PLESE DECISION UNDERSTAND EMPLOYEE SITUATION 🙏🙏,[]
65,2020-03-25 23:29:43,"Most games are lost, not won.
#friends #family #nature #life #living #corona #lockdown #day1 #gocorona #leave #game #time #memory #dream #peace #wanderer #inspiration #gathering #evening #silence #reflection @…  https://www.instagram.com/p/B-Knbt3Drlr/?igshid=qhtcyefaoeac …","['#friends', '#family', '#nature', '#life', '#living', '#corona', '#lockdown', '#day1', '#gocorona', '#leave', '#game', '#time', '#memory', '#dream', '#peace', '#wanderer', '#inspiration', '#gathering', '#evening', '#silence', '#reflection']"
66,2020-03-25 23:29:05,"Country needs our help in succession of 21 days lockdown So,kindly it's a request from all of us For us. It's Important to maintain social distancing and Support the country to fight against COVID-19 
#IndiaLockdownFor21Days #IndiaComeTogether #OneNationOneDestiny @narendramodi","['#indialockdownfor21days', '#indiacometogether', '#onenationonedestiny']"
67,2020-03-25 23:28:32,"Agree, bank should not charge any late fees during this lockdown. Please be compassionate",[]
68,2020-03-25 23:28:13,"PM Sir..ppl all over shud b forced 2 follow lockdown, that nt happening.ref Neeladri rd ecity bangalore.pls enforce",[]
69,2020-03-25 23:27:24,The complete lockdown here got niggas switching from alcohol to tea and shit. Kubi. 🤣🤣🤣,[]
70,2020-03-25 23:26:54,"lock down for good cause is good. So as Kashmir was under lockdown for their people,we too are happy for the lockdown.",[]
71,2020-03-25 23:26:41,"India,s 21 Days Lockdown Police fire to People just now and saved all people's #StayHomeStaySafe
#21daylockdown #lockdownindia #IndiaFightsCorona #Coronaindia #CoronavirusLockdown #CoronaStopKaroNa pic.twitter.com/mYD0ACGd4T","['#stayhomestaysafe', '#21daylockdown', '#lockdownindia', '#indiafightscorona', '#coronaindia', '#coronaviruslockdown', '#coronastopkarona']"
72,2020-03-25 23:25:44,Idiots abound! Save yourself from #Corona and your family and community. Ignorance could be deadly. @narendramodi has advocated lockdown to save the countrymen from disaster. Do adhere to it. Keep Conspiracy theory and Hate for Modi for later.,['#corona']
73,2020-03-25 23:25:40,"@KTR_News 
My self Dr B Venkateshwarlu working in Telangana university contact Mobil 8309203463
Due lockdown myself and my wife was stocked in old bowenpally please help me to reach my residence Nizamabad",[]
